question,answer,intent
위치는,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
배달서비스해줘?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
배달은?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
배달되?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
빨래 수거해줘?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
빨래 배달돼?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
배달은 가능함?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
수거 배달 서비스 해줘?,수거 배달 서비스는 하고 있지 않습니다.,배달서비스문의
세탁 얼마나 걸려,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
세탁 기간은,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
얼마 걸려?,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
세탁 오래걸려?,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
세탁 시간은,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
세탁물 빨리 받고 싶은데,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
오늘 맡기면 언제 찾을 수 있어?,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
옷 언제 받을 수 있지?,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
오래 걸려?,영업일 기준 2박 3일 소요됩니다. 세탁물이 많이 몰리는 경우 조금 더 소요될 수 있습니다. 빠른 세탁서비스가 필요할 경우 당일세탁 서비스 이용을 요청하시길 바랍니다.,세탁서비스문의
당일 세탁 서비스가 뭐야,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
초특급?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
초특급 서비스?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
당일 세탁서비스?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
당일 세탁서비스 비싸?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
빠른 세탁서비스?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
빠른 세탁이 필요한데,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
옷을 급하게 세탁해야 하는데,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
빨리 세탁해줄 수 있어?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
오늘 세탁 가능함?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
오늘 까지 세탁 가능함?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
하루만에 세탁 가능해?,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
급한데,초특급 당일 세탁 서비스는 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 기본요금에서 50%추가됩니다.,빠른세탁서비스문의
의류 수선,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
의류 수선 가능함?,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
의류 수선 되니?,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
의류 수선 지원함?,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
바지 수선하고 싶은데,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
옷 수선하고 싶은데,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
옷 수선해야해,"수선 서비스는 제공하고 있지 않습니다만, 같은 건물 3층에 OO수선집이 있으니 매장방문하여 이용하시길 바랍니다.",의류수선문의
운동화 세탁,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화 빨아주나요,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화 세탁가능?,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화 드라이크리닝,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화는요,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화되요?,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
운동화는?,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,운동화세탁문의
구두세탁,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두 빨아주나요,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두세탁 가능?,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두 드라이크리닝,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두는요,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두되요,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두는 안되나요,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
구두는?,"가죽신발은 기본적으로 세탁서비스를 제공하지 않으나, 꼭 세탁을 원하는 경우 물세탁 후 특수 약품을 사용하여 물빠짐과 경화현상을 최소화 하여 작업합니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있으니 유의하시길 바랍니다. ",구두세탁문의
신발은요,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,신발세탁문의
신발빨래,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,신발세탁문의
신발 가능?,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,신발세탁문의
신발되나요,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,신발세탁문의
신발 빨고 싶은데,운동화 물세탁 서비스 제공합니다. 제품의 특성상 드라이크리닝 서비스는 제공하지 않습니다.,신발세탁문의
이불은,이불빨래 가능합니다. ,이불세탁문의
이불빨래,이불빨래 가능합니다. ,이불세탁문의
이불 세탁,이불빨래 가능합니다. ,이불세탁문의
이불도 처리해줘?,이불빨래 가능합니다. ,이불세탁문의
이불빨고 싶은데,이불빨래 가능합니다. ,이불세탁문의
가죽은,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
모피는,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
가죽이나 모피는,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
모피나 가죽은,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
가죽 세탁가능,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
모피 세작가능,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
가죽 제품도 받아줘?,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
모피 제품도 받아줘?,"가능합니다. 가죽, 모피류는 소재에 따라 검품 후 수작업 특수세탁으로 처리합니다.",가죽모피문의
세탁물은 며칠이내,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
세탁물은 며칠이내에 찾아가면 되나요,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
세탁물 보관기간은,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
세탁물 보관,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
세탁물 보관기간,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
보관기간은 얼마야,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
보관기간은 어케돼,"맡기신 세탁물은 10일 이내에 찾아가 주시고, 3개월 이내에 찾아가지 않는 세탁물에는 분실, 도난등의 책임을 지지 않습니다.",세탁물보관문의
와이셔츠 세탁비용은?,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
가격은,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
세탁비는,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
드라이크리닝 가격,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
코트 가격,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
얼마야,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
얼만데요,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
얼마,"와이셔츠는 5천원, 원피스/코트는 만원, 니트류는 1만5천원, 모피/가죽제품은 2만원입니다.",가격문의
무인서비스 있음?,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다. ",무인세탁함서비스문의
무인서비스 ,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다. ",무인세탁함서비스문의
밤늦게 서비스 가능함?,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다. ",무인세탁함서비스문의
밤늦게나 세탁소 갈 수 있을 것 같은데,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다.",무인세탁함서비스문의
무인함 있어?,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다.",무인세탁함서비스문의
휴일 밖에 시간이 없는데,"스마트 무인세탁함은 365일, 24시간 고객님이 원하는 시간에 세탁물을 접수하실 수 있습니다. 스마트 무인세탁함 이용방법은 세탁물을 접수하시면서 연락처를 남겨주시면 매장직원이 확인하고 확인문자를 보내드리며, 세탁 후 세탁완료문자를 보내드립니다.",무인세탁함서비스문의
코인세탁기,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
무인 빨래방,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
빨래방,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
빨래방 서비스 되나요,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
건조기 있나요,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
세탁기는 몇대인가요,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
몇대 있나요,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
건조기 몇대있나요,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
무인 빨래방 운영시간은,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
무인 빨래방 영업시간은,"24/365 무인으로 운영되는 코인빨래방이 같은 층 206호에 있으니 세탁물 접수, 수거시 활용하시길 바랍니다.",코인빨래방문의
